"temp_K","day"
302.339996337891,2011-07-01
302.470001220703,2011-07-02
302.309997558594,2011-07-03
302.190002441406,2011-07-04
302.059997558594,2011-07-05
302.059997558594,2011-07-06
302.399993896484,2011-07-07
303.040008544922,2011-07-08
303.100006103516,2011-07-09
302.880004882812,2011-07-10
302.679992675781,2011-07-11
302.739990234375,2011-07-12
302.839996337891,2011-07-13
302.769989013672,2011-07-14
302.519989013672,2011-07-15
302.589996337891,2011-07-16
302.649993896484,2011-07-17
302.380004882812,2011-07-18
302.220001220703,2011-07-19
302.549987792969,2011-07-20
302.679992675781,2011-07-21
302.850006103516,2011-07-22
303.130004882812,2011-07-23
303.450012207031,2011-07-24
303.720001220703,2011-07-25
303.670013427734,2011-07-26
303.359985351562,2011-07-27
303.589996337891,2011-07-28
303.359985351562,2011-07-29
303.089996337891,2011-07-30
303.179992675781,2011-07-31
303.130004882812,2011-08-01
302.880004882812,2011-08-02
302.970001220703,2011-08-03
302.600006103516,2011-08-04
302.450012207031,2011-08-05
303.700012207031,2011-08-06
304,2011-08-07
304.079986572266,2011-08-08
303.989990234375,2011-08-09
303.959991455078,2011-08-10
303.799987792969,2011-08-11
303.910003662109,2011-08-12
304.049987792969,2011-08-13
304.089996337891,2011-08-14
303.739990234375,2011-08-15
303.690002441406,2011-08-16
303.820007324219,2011-08-17
303.869995117188,2011-08-18
303.809997558594,2011-08-19
303.890014648438,2011-08-20
303.929992675781,2011-08-21
304.089996337891,2011-08-22
304.149993896484,2011-08-23
304,2011-08-24
304.109985351562,2011-08-25
304.079986572266,2011-08-26
304,2011-08-27
304.040008544922,2011-08-28
304.040008544922,2011-08-29
303.720001220703,2011-08-30
303.690002441406,2011-08-31
303.600006103516,2011-09-01
303.5,2011-09-02
302.839996337891,2011-09-03
302.899993896484,2011-09-04
302.609985351562,2011-09-05
302.390014648438,2011-09-06
302.630004882812,2011-09-07
302.579986572266,2011-09-08
302.290008544922,2011-09-09
302.579986572266,2011-09-10
302.399993896484,2011-09-11
302.290008544922,2011-09-12
302.5,2011-09-13
302.429992675781,2011-09-14
302.279998779297,2011-09-15
302.089996337891,2011-09-16
301.709991455078,2011-09-17
302.320007324219,2011-09-18
302.779998779297,2011-09-19
302.859985351562,2011-09-20
302.559997558594,2011-09-21
302.429992675781,2011-09-22
302.570007324219,2011-09-23
302.730010986328,2011-09-24
302.829986572266,2011-09-25
302.869995117188,2011-09-26
302.890014648438,2011-09-27
303.720001220703,2011-09-28
303.529998779297,2011-09-29
303.100006103516,2011-09-30
302.859985351562,2011-10-01
302.559997558594,2011-10-02
302.269989013672,2011-10-03
302.140014648438,2011-10-04
301.850006103516,2011-10-05
301.850006103516,2011-10-06
301.890014648438,2011-10-07
301.739990234375,2011-10-08
301.769989013672,2011-10-09
301.679992675781,2011-10-10
301.619995117188,2011-10-11
301.640014648438,2011-10-12
301.549987792969,2011-10-13
301.489990234375,2011-10-14
301.440002441406,2011-10-15
301.329986572266,2011-10-16
301.029998779297,2011-10-17
300.929992675781,2011-10-18
300.989990234375,2011-10-19
300.829986572266,2011-10-20
300.619995117188,2011-10-21
300.559997558594,2011-10-22
300.489990234375,2011-10-23
300.160003662109,2011-10-24
300.190002441406,2011-10-25
300.239990234375,2011-10-26
300.179992675781,2011-10-27
300.179992675781,2011-10-28
299.880004882812,2011-10-29
299.559997558594,2011-10-30
299.420013427734,2011-10-31
299.220001220703,2011-11-01
299.079986572266,2011-11-02
298.980010986328,2011-11-03
298.859985351562,2011-11-04
298.850006103516,2011-11-05
298.799987792969,2011-11-06
298.609985351562,2011-11-07
298.529998779297,2011-11-08
298.489990234375,2011-11-09
298.299987792969,2011-11-10
298.269989013672,2011-11-11
298.179992675781,2011-11-12
298.160003662109,2011-11-13
298.119995117188,2011-11-14
298.239990234375,2011-11-15
298.299987792969,2011-11-16
298.380004882812,2011-11-17
298.220001220703,2011-11-18
298.109985351562,2011-11-19
298.290008544922,2011-11-20
298.320007324219,2011-11-21
298.25,2011-11-22
298.119995117188,2011-11-23
297.739990234375,2011-11-24
297.75,2011-11-25
297.660003662109,2011-11-26
297.579986572266,2011-11-27
297.480010986328,2011-11-28
297.429992675781,2011-11-29
297.320007324219,2011-11-30
297.089996337891,2011-12-01
296.959991455078,2011-12-02
296.679992675781,2011-12-03
296.779998779297,2011-12-04
296.850006103516,2011-12-05
296.690002441406,2011-12-06
296.959991455078,2011-12-07
296.75,2011-12-08
296.230010986328,2011-12-09
296.149993896484,2011-12-10
295.940002441406,2011-12-11
295.079986572266,2011-12-12
295.230010986328,2011-12-13
295.670013427734,2011-12-14
295.820007324219,2011-12-15
295.820007324219,2011-12-16
295.839996337891,2011-12-17
296.049987792969,2011-12-18
296.149993896484,2011-12-19
296.220001220703,2011-12-20
296.160003662109,2011-12-21
296.170013427734,2011-12-22
296.119995117188,2011-12-23
295.929992675781,2011-12-24
296.040008544922,2011-12-25
296.290008544922,2011-12-26
295.940002441406,2011-12-27
295.869995117188,2011-12-28
295.799987792969,2011-12-29
295.640014648438,2011-12-30
295.540008544922,2011-12-31
